filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1129_ch_407_strand.fast5	07159cb6-ec5c-40f4-b313-71320db35f86	f92717327e20661b488f6bebe7463e7dfa7490be	407	1768.6955	2.18025	1729	True	0.018	1729	2.16225	1729	1301	12.127	-0.0012
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1244_ch_1309_strand.fast5	149d74b8-85b3-4b0d-94c1-e776f812727a	f92717327e20661b488f6bebe7463e7dfa7490be	1309	1772.54375	1.368	1085	True	0.0115	1085	1.3565	1085	795	11.389	-0.0018
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_932_ch_1390_strand.fast5	2153488e-98a5-447b-b9e2-675d8244ada1	f92717327e20661b488f6bebe7463e7dfa7490be	1390	1732.6005	3.6695	2935	True	0.0	2935	3.6695	2935	2213	10.028	-0.0005
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_863_ch_681_strand.fast5	2694e0d9-54ce-4adb-9097-eec4ae6fa9d8	f92717327e20661b488f6bebe7463e7dfa7490be	681	1762.824	1.69975	1279	True	0.10075	1279	1.599	1279	854	10.638	-0.0014
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_902_ch_1502_strand.fast5	2c86439a-a391-4904-a9be-bba7eb7edf46	f92717327e20661b488f6bebe7463e7dfa7490be	1502	1747.217	1.528	1155	True	0.0835	1155	1.4445	1155	878	11.864	-0.0007
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_979_ch_1694_strand.fast5	391fa99d-b70a-4360-8633-59c3c54475e4	f92717327e20661b488f6bebe7463e7dfa7490be	1694	1714.14675	5.942	4734	True	0.02425	4734	5.91775	4734	3497	13.345	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_747_ch_2097_strand.fast5	40bda31d-f81e-405c-8f25-3017a13f4be5	f92717327e20661b488f6bebe7463e7dfa7490be	2097	1772.45575	1.03275	663	True	0.203	663	0.82975	663	435	9.769	-0.0019
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1005_ch_1264_strand.fast5	69a4b0e1-c9ab-4733-99c8-05664ab8aecc	f92717327e20661b488f6bebe7463e7dfa7490be	1264	1728.763	1.4655	1160	True	0.01475	1160	1.45075	1160	916	10.664	-0.0012
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1280_ch_1077_strand.fast5	6a29e771-06fe-4272-8e8a-6098fb52cd7f	f92717327e20661b488f6bebe7463e7dfa7490be	1077	1693.83825	1.647	1283	True	0.04325	1283	1.60375	1283	990	11.53	-0.0012
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_8138_ch_2921_strand.fast5	7b17b0c9-0063-4b03-8d66-d27193bc1a61	f92717327e20661b488f6bebe7463e7dfa7490be	2921	1713.09	6.602	5271	True	0.0125	5271	6.5895	5271	3846	9.943	-0.0005
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1932_ch_1139_strand.fast5	7cc01ed8-f23a-4e84-bb4d-fc9d3df4c199	f92717327e20661b488f6bebe7463e7dfa7490be	1139	1745.3065	4.04975	3239	True	0.0	3239	4.04975	3239	2325	11.036	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_763_ch_2443_strand.fast5	886f59a4-f2c0-4fd5-8279-507c9558e5dc	f92717327e20661b488f6bebe7463e7dfa7490be	2443	1716.9945	4.83925	3812	True	0.0735	3812	4.76575	3812	1919	11.968	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_853_ch_670_strand.fast5	a5d75b8b-3700-4765-8cc7-8b60c406f68e	f92717327e20661b488f6bebe7463e7dfa7490be	670	1723.9685	1.03775	744	True	0.10675	744	0.931	744	539	9.758	-0.002
